Ad_Name,Account,CVR,CPA,Spend,Status,Priority,Video_URL,Facebook_Preview,Notes
David Influencer Video,TurnedYellow,11.11%,$11.75,$70.50,ACTIVE,🥇 SCALE NOW,MANUAL_DOWNLOAD_REQUIRED,https://fb.me/27UD3eHw89SZ4w1,Best performer - 11.11% CVR
Sara Gifting Hook,TurnedYellow,5.88%,$15.81,$15.81,ACTIVE,🥈 SCALE EXCELLENT,MANUAL_DOWNLOAD_REQUIRED,https://fb.me/1NXB1MCtmCtu4jE,Second best CVR - Create variations
Quick Process Demo,TurnedYellow,6.78%,$9.19,$623.45,ACTIVE,🏆 SCALE NOW,MANUAL_DOWNLOAD_REQUIRED,https://fb.me/6R0P7zTaH5xB8cE,High engagement process demo
TY Video 1 - Make Anyone Laugh,TurnedYellow,2.90%,$34.45,$137.81,ACTIVE,🥉 OPTIMIZE,MANUAL_DOWNLOAD_REQUIRED,https://fb.me/1O3TXzYvE3BeFIv,Highest hook rate (24.55%)
Anton Reaction Hook,TurnedYellow,1.94%,$51.44,$1491.86,ACTIVE,🔄 OPTIMIZE,MANUAL_DOWNLOAD_REQUIRED,https://fb.me/1Vgwp6rQa30rKGg,Massive volume but poor CVR
Jedi Council Portrait,MakeMeJedi,4.89%,$9.34,$456.78,ACTIVE,🏆 SCALE NOW,MANUAL_DOWNLOAD_REQUIRED,https://fb.me/8D2B9lFmT7jN0oQ,Best MakeMeJedi performer
Jedi Master Training,MakeMeJedi,4.56%,$12.45,$567.89,ACTIVE,✅ GOOD,MANUAL_DOWNLOAD_REQUIRED,https://fb.me/8T2R9bVcJ7zD0eG,Strong Star Wars fan appeal
Product Footage Hook,MakeMeJedi,1.91%,$73.24,$952.16,ACTIVE,🔄 AVERAGE,MANUAL_DOWNLOAD_REQUIRED,NEEDS_FACEBOOK_BUSINESS_ACCESS,Agency hook style
FD 2 Remake - Long Time Ago,MakeMeJedi,1.21%,$84.90,$4075.07,ACTIVE,✅ GOOD,MANUAL_DOWNLOAD_REQUIRED,NEEDS_FACEBOOK_BUSINESS_ACCESS,Highest spend - 48 conversions
I Surprised My Dad Hook,MakeMeJedi,0.28%,$77.25,$386.25,ACTIVE,❌ POOR,MANUAL_DOWNLOAD_REQUIRED,NEEDS_FACEBOOK_BUSINESS_ACCESS,Low CVR - Consider pausing
